review,brand,variety,style,country,stars
103,Ve Wong,Vegetarian Flavor,Pack,Taiwan,3
104,Maruchan,Ramen Noodle Soup Chicken,Pack,United States,2
105,Indomie,Special Fried Curly Noodle,Pack,Indonesia,5
106,GreeNoodle,Tom Yum,Pack,Thailand,0.5
107,Ottogi,Pow Crunch Teriyaki,Pack,South Korea,1.1
108,Teriyaki Time,Ramen,Bowl,United States,2
109,Mama,Pad Thai,Pack,Thailand,3.1
110,Lucky Me!,Artificial Chicken,Pack,Philippines,1.5
111,Ottogi,Odongtongmyon Seafood Spicy,Pack,South Korea,3.25
112,Ottogi,Jiajang Noodle,Pack,South Korea,3.75
113,Nongshim,Hooroorook ,Pack,South Korea,4
114,Samyang,Kimchi,Pack,South Korea,2.9
115,Ottogi,Miso Ramyun,Pack,South Korea,2.8
116,Mama,Nam Vang,Pack,Thailand,3.6
117,Ottogi,Ramyonsari,Pack,South Korea,4
118,Paldo,Bibim Men,Pack,South Korea,3.75
119,Ve Wong,Artificial Pork & Chicken,Pack,Taiwan,3.4
120,Samyang,Beef,Pack,South Korea,4
121,Ottogi,Bekse Curry,Pack,South Korea,4
122,Doll,Shrimp Wonton,Pack,Hong Kong,4
123,Wai Wai,Minced Pork Soeng Kreung,Pack,Thailand,3.7
125,Shirakiku,Japanese Style Tokusen Karami,Pack,Japan,3
126,Mama,Tom Yam Koong Rice Vermicelli,Pack,Thailand,1.5
127,Vifon,Mi Chay Vegetarian,Pack,Vietnam,2.8
128,Mama,Artificial PA-LO Duck,Pack,Thailand,0.1
129,Nongshim,Mupama Tang Myun,Pack,South Korea,3.5
130,Sapporo Ichiban,Miso Soybean Paste,Pack,Japan,3.5
131,Unif,100 Artificial Shallot Chicken,Pack,Taiwan,3.25
132,Ve Wong,Artificial Peppered Beef,Pack,Taiwan,3.5
133,Baijia,Hot & Sour Rice Noodle,Pack,China,0
134,Global Inspiration,Gyeong-Gi-Do Rice,Bowl,South Korea,2.25
135,Unif / Tung-I,Fresh Shrimp,Pack,Taiwan,3.25
136,Mama,Shrimp Creamy Tom Yum,Pack,Thailand,5
137,Nissin,Bowl Noodles Rich & Savory Chicken,Bowl,United States,1.75
138,Unif,100 Furong Shrimp,Pack,Taiwan,3
139,Kamfen,Noodle King Beef,Pack,China,1.75
140,Mama,Mi Goreng,Pack,Thailand,5
141,Six Fortune,Seafood Flavor,Pack,South Korea,2.5
143,Mama,Mamy Chand Clear Soup,Pack,Thailand,2.75
144,Nongshim,Kimchi Ramyun,Pack,South Korea,3.5
145,Sakurai,Vegetarian Flavor,Pack,Japan,3.5
146,Mama,Pho Bo,Pack,Thailand,2.5
147,Higashi,Nagasaki Sara Udon,Pack,Japan,5
148,Myojo,Okinawa Soba,Pack,Japan,3.75
149,Maruchan,Akai Kitsune Udon,Bowl,Japan,4
150,ChoripDong,Jjambbong Hot Spicy Seafood,Bowl,South Korea,4.25
151,Shirakiku,Japanese Style Tokusen Miso,Pack,Japan,3
152,Wu Mu,Steamed Noodle Garlic & Sesame Oil,Pack,Taiwan,4.5
153,Sapporo Ichiban,Shrimp Flavor,Cup,United States,1.75
154,Nissin,Creamy Chicken,Cup,United States,1.75
155,Lucky Me!,Pancit Canton,Pack,Philippines,4.75
156,Maruchan,Instant Lunch Cajun Style With chili Piquin Shrimp,Cup,United States,3
157,Nissin,Sotanghon,Cup,Philippines,2
158,Mama,Jok Cup Porridge Artificial Pork,Cup,Thailand,2.5
159,Mama,Hot & Spicy,Pack,Thailand,1.75
160,Myojo,Ramen Desse Soy Sauce,Bowl,Japan,1.5
161,Paldo,Green Tea Chlorella,Pack,South Korea,0
162,Myojo,Chukazanmai Oriental,Pack,Japan,3.75
163,Vifon,Asian Style Instant Noodles Chicken,Pack,Vietnam,3.5
164,Unif / Tung-I,Artificial Beef Flavor,Pack,Taiwan,3.75
165,Doll,Sesame Oil,Pack,Hong Kong,3.5
166,Koyo,Garlic Pepper,Pack,United States,3.25
167,Wai Wai,Crab Instant Rice Vermicelli,Pack,Thailand,2.5
168,JFC,Japanese Style Noodle Fresh Udon,Bowl,Japan,3.75
169,Samyang,Seafood Party,Pack,South Korea,2.25
170,Myojo,Chukazanmai Soybean Paste,Pack,Japan,3.5
171,Samyang,Japanese Seafood Flavor Udon,Pack,South Korea,3.75
172,Mama,Flat Noodle Tom Yum,Pack,Thailand,3.75
173,Unif / Tung-I,Instant Bean Vermicelli Shrimp,Pack,Taiwan,1.5
174,Lucky Me!,Sotanghon Artificial Chicken,Pack,Philippines,0.25
175,Samyang,Cold Ramen With Ponytail Radish,Pack,South Korea,3
177,Vifon,Hu Tieu Bo Kho An Lien Beef,Pack,Vietnam,3.75
178,Mama,Oriental Style Clear Soup,Pack,Thailand,2
179,Mama,Kimchi,Pack,Thailand,3
181,Kamfen,Noodle King Thin Wonton,Pack,China,2
182,Myojo,Chukazanmai Soy Sauce chili Oil,Pack,Japan,3.25
183,Nissin,Bowl Noodles Hot & Spicy Chicken,Bowl,United States,2
184,Myojo,Chukazanmai Soy Sauce,Pack,Japan,3.75
185,Shirakiku,Sanukiya Udon,Bowl,Japan,3.75
186,Paldo,Teumsae Ramyun,Pack,South Korea,3.5
187,Paldo,Hwa Ramyun Soy Peptide,Pack,South Korea,4
188,Nongshim,Udon,Pack,South Korea,4
189,Nissin,Cup Noodles Manchurian,Cup,India,3
190,Maggi,Perencah Tom Yam,Pack,Malaysia,2.9
191,Wu Mu,Steamed Noodle Chinese Herbs,Pack,Taiwan,3.25
192,Paldo,Soy Flavor Noodle,Pack,South Korea,4.25
193,Boss,Shrimp Tom Yum Flavor,Bowl,Thailand,2.5
194,Saigon Ve Wong,Kung Fu Instant Rice Noodles Artificial Chicken,Pack,Vietnam,3.5
195,Myojo,Chukazanmai Served Cool Sesame Flavored Rice Vinegar Sesame,Pack,Japan,3
196,Nissin,Cup Noodles Pani Puri,Cup,India,1.5
198,Shirakiku,Sanukiya Somen,Bowl,Japan,4.25
199,Samyang,Chinese Soybean Paste,Pack,South Korea,2
200,Nongshim,Bowl Noodle Spicy Chicken,Bowl,United States,4.5
201,Nongshim,Bowl Noodle Beef Ginger,Bowl,United States,3.5
202,Nongshim,Bowl Noodle Cabbage Kimchi,Bowl,United States,3.25
203,Nongshim,Bowl Noodle Hot & Spicy,Bowl,United States,2
204,Nongshim,Bowl Noodle Spicy Shrimp,Bowl,United States,2.5
205,Sapporo Ichiban,Beef Flavor,Pack,United States,4.5
206,Bon Go Jang,Deuchi Udon,Bowl,South Korea,3
207,Sapporo Ichiban,Original Flavor,Pack,United States,3.5
208,Sao Tao,Ramen King Scallop Seafood,Pack,China,4.25
209,Nissin,Souper Meal Beef Flavor Minestrone,Bowl,United States,3
210,Rocket Brand,Satoimo Noodles,Pack,China,2.5
213,Nongshim,Bowl Noodle Spicy Artificial Lobster,Bowl,United States,4
216,Maruchan,Instant Lunch Roast Chicken Flavor,Cup,United States,2.75
217,Samyang,Bowl Noodle Kimchi,Bowl,South Korea,4
219,Six Fortune,Tom Yam Instant soup Noodle,Pack,South Korea,2.75
220,Wei Lih,Good Good Eat Super Ramen Original,Pack,Taiwan,3
221,Nissin,Top Ramen Beef,Pack,United States,3.75
222,Myojo,Udon Crab,Pack,Japan,3
223,Koka,Laksa Singapura,Bowl,Singapore,4.25
224,Mama,Instant Bowl Noodles Artificial Pork,Bowl,Thailand,2.75
225,Ottogi,Snack Ramyon,Pack,South Korea,3.75
227,Quickchow,Bihon Guisado Rice Noodle,Pack,Philippines,1.75
228,Vifon,Pho Ga Instant rice Noodle,Bowl,Vietnam,2
229,Myojo,Udon Chicken,Pack,Japan,3.75
230,Lucky Me!,Supreme Instant Mami Noodles With Free Crackers,Bowl,Philippines,3.75
231,Indomie,Onion Chicken,Pack,Indonesia,4.5
232,Indomie,Mi Goreng Jumbo Beef,Pack,Indonesia,5
233,Koka,Tom Yum Rice Noodles,Bowl,Singapore,3.5
234,Myojo,Udon Shrimp,Pack,Japan,3.75
235,Koka,Curry,Pack,Singapore,4.25
236,Koka,Spicy Sesame,Pack,Singapore,5
237,Koka,Spicy Seafood Marinara,Bowl,Singapore,3
238,Nissin,Chow Noodles Tomato Basil,Bowl,United States,4
239,Ottogi,Ppushu Ppushu Sweet & Sour,Pack,South Korea,1.75
240,Sanyo Foods,Aunt Mentaiko Durum Spaghetti,Bowl,Japan,4.5
242,Fashion Foods,Tom Klong,Bowl,Thailand,2
243,Myojo,Udon Hot & Spicy,Pack,Japan,4.5
245,Six Fortune,Broad Noodles,Pack,South Korea,3.75
246,Mama,Artificial Pork Jumbo,Pack,Thailand,3
247,Myojo,Udon Mushroom,Pack,Japan,3
248,Koka,Tomato,Pack,Singapore,4.75
249,Unif,100 Artificial Spicy Beef,Pack,Taiwan,3.75
250,Wu Mu,Steamed Noodle Sesame Oil,Pack,Taiwan,3.75
251,Fortune,Udon Beef,Pack,United States,3.5
252,Fortune,Udon Chicken,Pack,United States,3.25
253,Nongshim,Bowl Noodle Spicy Seafood,Bowl,United States,4.25
254,Vina Acecook,Daily Hot & Spicy Tom Yun,Pack,Vietnam,4
255,Mama,Oriental Kitchen Spicy Seafood,Cup,Thailand,3.75
256,Nissin,Cup Noodles Shrimp,Cup,United States,3.5
257,Nissin,Cup Noodles Beef,Cup,United States,3.5
258,Royal Umbrella,Tom Yum Shrimp,Cup,Thailand,3.25
259,Vina Acecook,Mi Lau Thai Seafood,Pack,Vietnam,4
260,Nissin,Bowl Noodles Hot & Spicy Shrimp,Bowl,United States,3.5
261,Vina Acecook,Oh! Ricey Chicken,Pack,Vietnam,3.75
262,Vina Acecook,Daily Beef Ball,Pack,Vietnam,3.75
264,Vina Acecook,Hao Hao Sour Hot Shrimp,Pack,Vietnam,3.75
265,Nissin,Cup Noodles Chicken,Cup,United States,3.5
266,Vina Acecook,Mi Lau Thai Shrimp,Pack,Vietnam,4
267,Mama,Pork,Cup,Thailand,2
268,Nissin,Cup Noodles Spicy Chile Chicken,Cup,United States,3.5
269,Paldo,Spicy Shrimp Bowl,Bowl,South Korea,3.5
270,Wu Mu,Dried Noodle With BBQ Pork,Pack,Taiwan,2
271,Paldo,South Korean Noodle Kimchi Flavor,Pack,South Korea,3.5
272,Vina Acecook,Mi Lau Thai Artificial Chicken,Pack,Vietnam,3.5
273,Wai Wai,Minced Pork Tom Yum,Pack,Thailand,2.5
274,Ve Wong,Kung Fu Artificial Soybean Paste,Pack,Taiwan,4
275,Mama,Cup Shrimp Tom Yum Flavor,Cup,Thailand,3.75
276,Wai Wai,Chili Paste Tom Yum,Pack,Thailand,3.25
277,Vina Acecook,Oh! Ricey Beef Rice Noodles,Pack,Vietnam,4
278,Fortune,Udon Mushroom,Pack,United States,3
281,Mama,Oriental Kitchen Hot Spicy,Cup,Thailand,3
282,Doll,Pickled Vegetable,Pack,Hong Kong,4.25
283,Paldo,King Cup Kimchi Pot Stew,Cup,South Korea,4
284,Nissin,Cup Noodles Seafood,Cup,Hong Kong,4.5
285,Doll,Artificial Chicken,Pack,Hong Kong,4.5
287,Paldo,King Cup Lobster,Cup,South Korea,3.75
288,Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,South Korea,3.25
289,Paldo,South Korean Broad Noodle,Pack,South Korea,2
290,Doll,Spicy Artificial Beef,Pack,Hong Kong,3
291,Nongshim,Shin Bowl,Bowl,South Korea,3
292,Paldo,South Korean U Dong,Pack,South Korea,3.75
293,Tiger,Onion Flaver Rice Noodle,Bowl,Taiwan,0
294,Paldo,South Korean Seafood,Pack,South Korea,3.75
295,Tablemark,Soybean Paste,Bowl,Japan,4.5
296,Nissin,Cup Noodles Crab,Cup,Hong Kong,3.25
298,Nongshim,Hearty Rice Noodle Spicy Veggie Consomme,Pack,South Korea,2.75
299,Lucky Me!,Supreme Sotanghon Artificial Chicken Vermicelli ,Bowl,Philippines,3.75
300,Wu Mu,Steam Spinach Ramen With Onion,Pack,Taiwan,5
301,Dragonfly,Guilin Style Rice Vermicelli,Bowl,China,4.5
302,Samyang,Bowl Noodle Picante Beef,Bowl,South Korea,3.75
304,Mama,Pho Bo Rice Noodle Artificial Beef,Bowl,Thailand,3.5
305,Lucky Me!,Supreme Special Beef Carne De Vaca,Bowl,Philippines,3.75
307,Royal Umbrella,Vegetarian Tom Yum,Cup,Thailand,2.75
308,Tradition,Imitation Chicken Vegetarian,Pack,United States,3.75
310,Lucky Me!,La Paz Batchoy Beef,Pack,Philippines,2.5
311,Vifon,Tasty Mushroom,Pack,Vietnam,2
312,Lucky Me!,Supreme Bulalo Artificial Bone Marrow,Bowl,Philippines,1.75
315,Unif,Super Bowl Artificial Spicy Beef,Bowl,Taiwan,2.75
316,Unif,Super Bowl Artificial Stewed Pork Chop,Bowl,Taiwan,3.5
318,Unif,Super Bowl Artificial Pickled Chilli Beef,Bowl,Taiwan,3.25
319,Maruchan,Ramen Noodle Soup Oriental,Pack,United States,3.75
320,Maruchan,Ramen Noodle Soup Spicy Picante Chicken,Pack,United States,4
321,Little Cook,TVP Spicy Beef,Bowl,Thailand,4.75
322,Unif,Shrimp Fish,Bowl,Taiwan,3.75
323,Ottogi,Jin Ramen (Hot),Cup,South Korea,3.5
324,Nongshim,Big Bowl Spicy Shrimp,Bowl,South Korea,3.5
325,Mee Jang,Artificial Pork,Bowl,Thailand,3.5
326,Little Cook,TVP Curry Chicken,Bowl,Thailand,4
327,Gomex,3 Mien Mi Tom Hum Lobster,Pack,Vietnam,3.5
328,Nongshim,Big Bowl Udon,Bowl,South Korea,4.5
329,Mee Jang,Artificial Beef Flavor,Bowl,Thailand,3.5
330,Vifon,Phu Gia Instant Bean Thread Chicken,Pack,Vietnam,3.25
331,Sunlee,Crab Noodle,Bowl,Thailand,4.5
332,Nongshim,Champong Oriental Noodles,Cup,South Korea,3.75
333,Nissin,Big Cup Noodles Shrimp,Cup,United States,2.25
334,Nissin,Big Cup Noodles Beef,Cup,United States,2.13
335,Goku-Uma,Hot & Spicy Beef,Bowl,Japan,3.5
336,Six Fortune,Instant Noodles With Soup,Pack,South Korea,3.5
337,Maruchan,Ramen Noodle Soup Creamy Chicken,Pack,United States,5
338,Nissin,Big Cup Noodles Chicken,Cup,United States,2.25
339,Payless,Xtra Big Chilimansi Pancit Canton,Pack,Philippines,4.5
340,Shirakiku,Japanese Style Tokusen Shoyu,Pack,Japan,4
341,Vina Acecook,Daily Vegetarian,Pack,Vietnam,3.75
342,Nongshim,Shin Big Bowl,Bowl,South Korea,3.5
343,Super Bihun,Goreng Rice Noodles,Pack,Indonesia,4.5
344,Paldo,Stirfried Kimchi,Pack,South Korea,3.75
345,Myojo,Charumera Shoyu,Pack,Japan,3.5
346,Paldo,Bowl Noodle Spicy Artificial Chicken,Bowl,South Korea,3.13
347,Sunny Maid,Mi Chay Vegetarian,Pack,Taiwan,1.75
348,Paldo,Bowl Noodle Kimchi,Bowl,South Korea,3.5
349,Ottogi,Ramen Bokki,Bowl,South Korea,3.25
350,Nissin,Souper Meal Tomato Garlic Shrimp,Bowl,United States,3.5
351,Nissin,Top Ramen Picante Beef,Pack,United States,3
352,Maruchan,Ramen Noodle Soup Chili,Pack,United States,2.75
353,Nissin,Top Ramen Chili,Pack,United States,3.25
354,Maruchan,Instant Lunch Chicken 35% Less Sodium,Cup,United States,3
355,Nongshim,Noodle Lite 275 Udon Mushroom,Bowl,South Korea,2.5
356,Maruchan,Ramen Noodle Soup Roast Beef,Pack,United States,2.75
357,Payless,Xtra Big Kalamansi Pancit Canton,Pack,Philippines,4
358,Doll,Spicy Artificial Pork,Pack,Hong Kong,3.75
359,Nissin,Bowl Noodles Hot & Spicy Beef,Bowl,United States,3.75
360,Nissin,Cup Noodles Hearty Chicken,Cup,United States,2.5
361,Tayho,Vermicelli With Pork,Bowl,United States,1.25
362,Vina Acecook,Daily Hot & Sour With Shrimp,Pack,Vietnam,4.5
363,Nissin,Demae Iccho Tonkotsu Macaroni,Pack,Japan,3.5
364,Sao Tao,Noodle King Beef Hong Kong Style,Bowl,Hong Kong,2.5
365,Nissin,Cup Noodles Prawn,Cup,Singapore,3.25
366,Payless,Pancit Shanghai,Pack,Philippines,2.75
367,Saigon Ve Wong,Kung Fu Artificial Chicken,Pack,Vietnam,3.25
368,Knorr,Chili Pork,Cup,Thailand,3.5
370,Fuku,Superior Soup,Pack,Hong Kong,5
372,Noodle Time,Spicy Thai,Bowl,Canada,0.5
373,Nissin,Cup Noodles Chicken Vegetable,Cup,United States,2.75
374,Vifon,Asian Style Instant Noodles Shrimp,Pack,Vietnam,3.75
375,Vifon,Pho Bo Beef Rice Noodle,Pack,Vietnam,0.5
376,Sau Tao,Noodle King Lobster Thick,Bowl,Hong Kong,2.75
377,Sau Tao,Ho Fan Abalone Chicken,Bowl,Hong Kong,4
378,Ve Wong,Hot Of Hots Artificial Satay Beef,Bowl,Taiwan,3.75
381,Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,Vietnam,4.25
382,Lucky Me!,N-Rich Artificial Chicken With Ginger,Pack,Philippines,2.5
383,Lucky Me!,Chicken Na Chicken,Pack,Philippines,2.75
384,Nissin,Demae Iccho Tom Yam Goong Macaroni,Pack,Japan,4
385,Ve Wong,Hot Of Hots Artificial Black Peppered Beef,Bowl,Taiwan,1.25
387,Nissin,Bowl Noodles Rich & Savory Beef,Bowl,United States,3.75
388,Maruchan,Instant Lunch Cheddar Cheese,Cup,United States,2.75
389,Mama,Vegetarian Tom Yum,Pack,Thailand,2.75
390,Menraku,Curry Soba,Bowl,Japan,4
391,Myojo,Hyoubanya No Chukasoba Oriental,Pack,Japan,4.25
394,Paldo,Hwa Cup Hot Spicy,Cup,South Korea,3.5
395,Ottogi,Jin Ramen (Mild),Cup,South Korea,3
396,Vina Acecook,Bestcook Hot spicy Tom Yum Shrimp,Bowl,Vietnam,4.25
397,Quickchow,Quickie Mami La Paz Batchoy,Cup,Philippines,3
398,Paldo,Bowl Noodle Beef With Vegetables,Bowl,South Korea,3.75
399,Paldo,Spicy Seafood,Cup,South Korea,3.75
400,Nissin,Cup Noodles Seafood Curry,Cup,Hong Kong,4.25
401,Myojo,Suudon Desse Soy Sauce,Bowl,Japan,4.25
402,Sao Tao,Noodle King Scallop Thick,Bowl,Hong Kong,3
403,Maruchan,Instant Lunch Lime Flavor with Shrimp,Cup,United States,2.25
404,Vina Acecook,Hao Hao Sate Onion,Pack,Vietnam,3.75
405,Ibumie,Harmee Prawn,Pack,Malaysia,3.25
406,Vifon,Asian Style Instant Noodles Beef,Pack,Vietnam,3.75
407,Ottogi,Snack Ramyon,Cup,South Korea,3.5
408,Gomex,3 Mien Mi Tom Chua Cay Hot sour Shrimp,Pack,Vietnam,2.25
409,Payless,Instant Mami Chicken,Pack,Philippines,4
410,Lucky Me!,Instant Bulalo Bone Marrow,Pack,Philippines,3.75
411,Sunlee,Crab Vermicelli,Bowl,Thailand,3.25
412,Maruchan,Midori No Tanuki,Bowl,Japan,4.13
413,Souper,Alimentary Paste Chow Mein,Pack,Taiwan,4.25
414,Doll,Artificial Beef Flavor,Pack,Hong Kong,2.5
415,Ve Wong,Artificial Classic Beef,Bowl,Taiwan,3.75
416,Sapporo Ichiban,Chicken Flavor,Cup,United States,3.75
417,Vifon,Tu Quy Spicy Beef,Pack,Vietnam,3.5
418,iNoodle,Udon Noodle Soup Oriental,Pack,Taiwan,3.75
419,Myojo,Ramen Desse Shio,Bowl,Japan,4.25
420,Sapporo Ichiban,Beef Flavorc,Cup,United States,3.5
421,Myojo,Kakesoba Desse Soy Sauce,Bowl,Japan,2.75
422,Vifon,Mi Lau Thai Thai Stle,Bowl,Vietnam,4
423,Noodle Time,Shin Cup,Cup,South Korea,3
424,Q,Noodle With Sesame Sauce,Pack,Taiwan,3.25
425,Chikara,Shrimp Udon,Pack,United States,4.5
426,Vifon,Tu quy Chicken,Pack,Vietnam,3
427,Koka,Mi Hai Cua Crab Flavor,Pack,Singapore,5
428,Kamfen,E Men Chicken,Pack,China,3.75
429,Quickchow,Chicken Mami,Pack,Philippines,3.75
430,Quickchow,Pancit Canton toyo Mansi,Pack,Philippines,5
431,Unif / Tung-I,Chinese Onion Rice Noodle,Pack,Taiwan,2.75
432,Ve Wong,Instant Bean Thread Seafood,Bowl,Taiwan,2.5
433,Lucky Me!,Supreme Bulalo,Bowl,Philippines,3.25
434,Mi Sedaap,Kari Spesial,Pack,Indonesia,4.5
435,Mi Sedaap,Mie Sambal Goreng,Pack,Indonesia,4.25
436,Unif,Artificial Beef With Sauerkraut,Bowl,Taiwan,3.75
437,Nongshim,Big Bowl Spicy Kimchi,Bowl,South Korea,3.25
438,Samyang,Beef,Bowl,South Korea,3.75
439,Little Cook,Tom Yum Seafood Creamy,Bowl,Thailand,3
440,Maruchan,Instant Lunch Hot spicy Beef,Cup,United States,2.75
441,Ottogi,Spice Seafood,Pack,South Korea,3.75
442,Nongshim,Kalguksoo,Pack,South Korea,4.5
